City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
595,Paita,PE,77.56,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
597,Ambon,ID,81.07,heavy intensity rain,-3.6954,128.1814,Swiss-Belhotel Ambon
599,Lufilufi,WS,82.18,moderate rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
601,Torres,BR,78.82,clear sky,-29.3353,-49.7269,Farol Hotel
602,Sweetwater,US,82.99,overcast clouds,25.7634,-80.3731,Li'l Abner Mobile Home Park
606,Natal,BR,84.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
607,Gamba,GA,77.52,overcast clouds,-2.65,10.0,
612,Isangel,VU,71.71,overcast clouds,-19.55,169.2667,Tanna Lodge
613,Madang,PG,75.25,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
614,Araouane,ML,87.64,clear sky,18.9048,-3.5265,
615,San Pedro De Macoris,DO,86.61,light rain,18.4616,-69.2972,Apartahotel Guaraguao
617,Pauini,BR,86.68,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
626,Ahome,MX,84.15,clear sky,25.9167,-109.1833,LA HOUSE DE LA ALEJANDRA
630,Pemangkat,ID,77.63,overcast clouds,1.1667,108.9667,Ramah Kost KITA
632,Dedza,MW,71.24,few clouds,-14.3779,34.3332,Kapeleta Dedza Estates
634,Nishihara,JP,70.88,clear sky,26.1842,127.7558,Minshuku Agaihama
636,Alyangula,AU,76.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
637,Bongandanga,CD,71.1,moderate rain,1.5,21.05,
638,Buenos Aires,AR,85.01,few clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
639,Mitsamiouli,KM,79.75,scattered clouds,-11.3847,43.2844,Foyer ADM
640,Buala,SB,79.99,light rain,-8.145,159.5921,Maringe Lagoon Lodge
644,Rocha,UY,74.97,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
645,Itoman,JP,71.62,clear sky,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
646,Gwadar,PK,77.99,clear sky,25.1216,62.3254,Sadaf Resort
647,Bardiyah,LY,73.8,clear sky,31.7561,25.0865,بورتو بردية
648,Souillac,MU,71.98,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
650,Khanpur,PK,74.03,clear sky,28.6453,70.6567,Ahmad bartan store
660,Nizwa,OM,73.0,clear sky,22.9333,57.5333,Orient Apartments
664,Talisayan,PH,78.96,overcast clouds,6.9872,121.9272,Mar y Monte Resort
666,Madimba,TZ,76.86,clear sky,-10.4,40.3333,
669,Sagua La Grande,CU,81.59,overcast clouds,22.8067,-80.0756,Hotel Telégrafo
672,Soyo,AO,78.75,broken clouds,-6.1349,12.3689,Hotel Mpampa
674,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
676,Santa Teresa,VE,89.42,clear sky,10.2341,-66.6631,Funeraria Lira
678,Santa Isabel,BR,81.7,scattered clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
679,Kedougou,SN,86.5,light rain,12.5579,-12.1743,Relais de Kédougou
681,Bac Lieu,VN,78.96,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
683,Moanda,GA,70.75,moderate rain,-1.5575,13.2178,Heliconia Stadium Moanda
684,Aloleng,PH,78.26,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
689,Abnub,EG,76.32,clear sky,27.2696,31.1511,Romany Adly Gad
691,Ishigaki,JP,77.86,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
692,Lazaro Cardenas,MX,83.89,overcast clouds,17.9583,-102.2,quinta antigua
693,Mitu,CO,81.59,overcast clouds,1.1983,-70.1733,
697,Mbandaka,CD,76.68,overcast clouds,0.0487,18.2603,Guest House Epervier
699,Marsa Matruh,EG,73.29,clear sky,31.3525,27.2453,Beau Site
700,Inhambane,MZ,72.82,clear sky,-23.865,35.3833,Oceano
701,Wanning,CN,76.89,scattered clouds,18.8003,110.3967,Paradise Hotel
703,Lang Son,VN,70.77,overcast clouds,21.8333,106.7333,Khai Nga Hotel
704,Biak,ID,76.57,overcast clouds,-0.9131,122.8766,Penginapan Kim
712,Black River,JM,86.0,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
717,Tepelene,AL,71.19,overcast clouds,40.2958,20.0192,Olindi Hotel
719,Maningrida,AU,80.85,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
720,Karratha,AU,77.04,light rain,-20.7377,116.8463,ibis Styles Karratha
721,Dolores,AR,75.24,overcast clouds,-36.3132,-57.6792,Apart Hotel - Arianos
724,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
