City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
290,Irbil,IQ,36.1926,44.0106,66.02,48,0,5.75,clear sky
291,Tutoia,BR,-2.7619,-42.2744,85.98,69,88,11.39,overcast clouds
292,Tura,IN,25.5198,90.2201,62.58,88,74,3.31,broken clouds
293,Lantawan,PH,10.6167,123.9833,76.69,89,98,2.86,overcast clouds
294,Segou,ML,13.4317,-6.2157,91.83,26,21,5.35,few clouds
295,Touros,BR,-5.1989,-35.4608,85.1,67,52,12.12,broken clouds
296,Grenfell,AU,-33.9,148.1667,58.15,96,100,5.77,overcast clouds
297,Valkeala,FI,60.9401,26.7979,43.2,93,90,2.3,overcast clouds
298,Acarau,BR,-2.8856,-40.12,85.26,61,53,15.99,broken clouds
299,La Romana,DO,18.4273,-68.9728,86.36,66,75,9.22,broken clouds
300,Moerai,PF,-22.4333,-151.3333,74.12,69,100,11.83,overcast clouds
301,Aksarka,RU,66.5606,67.7975,34.29,91,100,20.31,overcast clouds
302,Sola,VU,-13.8833,167.55,78.71,78,79,2.62,broken clouds
303,Tessalit,ML,20.1986,1.0114,86.02,11,0,5.35,clear sky
304,Cayenne,GF,4.9333,-52.3333,87.84,79,0,4.0,clear sky
305,Ereymentau,KZ,51.6199,73.1033,13.89,81,46,17.02,scattered clouds
306,Sorland,NO,67.667,12.6934,42.66,76,100,16.82,overcast clouds
307,Mirnyy,RU,62.5353,113.9611,-6.2,93,79,8.61,broken clouds
308,Tamparan,PH,7.8792,124.3331,69.1,94,100,3.09,overcast clouds
309,Xai-Xai,MZ,-25.0519,33.6442,70.97,80,6,11.88,clear sky
310,Ovalle,CL,-30.5983,-71.2003,77.38,34,100,10.56,overcast clouds
311,Ilo,PE,-17.6394,-71.3375,70.66,60,20,10.36,few clouds
312,Bathsheba,BB,13.2167,-59.5167,86.61,62,20,18.41,few clouds
313,Oktyabrskiy,RU,54.4815,53.471,34.16,29,100,17.2,overcast clouds
314,Seoul,KR,37.5683,126.9778,49.44,93,75,3.44,fog
315,Muros,ES,42.7762,-9.0603,56.84,88,6,10.65,clear sky
316,Caravelas,BR,-17.7125,-39.2481,79.57,71,25,7.34,scattered clouds
317,Nador,MA,35.174,-2.9287,57.45,62,20,5.75,few clouds
318,Georgetown,MY,5.4112,100.3354,78.73,94,20,1.01,few clouds
319,Cockburn Town,TC,21.4612,-71.1419,82.45,74,12,13.98,few clouds
320,Pingdingshan,CN,33.7385,113.3012,61.3,73,100,3.11,overcast clouds
321,Baherden,TM,38.4362,57.4316,46.22,22,12,11.05,few clouds
322,Tezu,IN,27.9167,96.1667,61.99,39,0,4.76,clear sky
323,Kushmurun,KZ,52.4503,64.6311,23.22,39,14,10.83,few clouds
324,Noumea,NC,-22.2763,166.4572,73.0,99,96,9.98,overcast clouds
325,Torbay,CA,47.6666,-52.7314,46.58,75,13,5.99,few clouds
326,Qaqortoq,GL,60.7167,-46.0333,34.3,94,100,4.83,overcast clouds
